fgas                density
0.0924230716795408  0.000565052729277349
0.0925444259892892  0.000788388564067447
0.0926657802990377  0.00109669283526474
0.0927871346087861  0.00150538818318767
0.0929084889185345  0.0020396795223962
0.0930298432282829  0.00272876091048131
0.0931511975380313  0.00360584736874387
0.0932725518477797  0.00470806185596736
0.0933939061575281  0.00607615724595612
0.0935152604672766  0.00777961886618668
0.093636614777025   0.00988899990916224
0.0937579690867734  0.0124203030275766
0.0938793233965218  0.0154182534992405
0.0940006777062702  0.0189234509336574
0.0941220320160186  0.0229702761106476
0.0942433863257671  0.027584726829293
0.0943647406355155  0.0327822386290179
0.0944860949452639  0.0386077619419155
0.0946074492550123  0.04504770660043
0.0947288035647607  0.0520063948604462
0.0948501578745091  0.0594248513665895
0.0949715121842575  0.0672275791730098
0.0950928664940059  0.0753242021794593
0.0952142208037544  0.083611889308872
0.0953355751135028  0.0919785549069962
0.0954569294232512  0.1002917210319
0.0955782837329996  0.108402016588787
0.095699638042748   0.116213257735419
0.0958209923524964  0.123643839189729
0.0959423466622448  0.130636656112431
0.0960637009719933  0.13716414794791
0.0961850552817417  0.143232596762411
0.0963064095914901  0.148885529129561
0.0964277639012385  0.154192827527653
0.0965491182109869  0.159335382700191
0.0966704725207353  0.164527032578371
0.0967918268304837  0.169985891823316
0.0969131811402322  0.175953245643067
0.0970345354499806  0.182685663979674
0.097155889759729   0.190446228315011
0.0972772440694774  0.199495054410024
0.0973985983792258  0.210246997487831
0.0975199526889742  0.222943382436503
0.0976413069987226  0.237621340771518
0.0977626613084711  0.254384148243392
0.0978840156182195  0.273279796494568
0.0980053699279679  0.294298319626424
0.0981267242377163  0.31737115838934
0.0982480785474647  0.342372643551203
0.0983694328572131  0.36926523114941
0.0984907871669615  0.397692682078935
0.0986121414767099  0.427260136103228
0.0987334957864584  0.45768180507112
0.0988548500962068  0.488676014369408
0.0989762044059552  0.51997916633947
0.0990975587157036  0.551359369146993
0.099218913025452   0.582629365330092
0.0993402673352004  0.613628581632967
0.0994616216449489  0.644324601814638
0.0995829759546973  0.674800614573808
0.0997043302644457  0.70519916930601
0.0998256845741941  0.73573237508003
0.0999470388839425  0.766673714052534
0.100068393193691   0.798347220603124
0.100189747503439   0.831114279950145
0.100311101813188   0.865576801629921
0.100432456122936   0.902132807655092
0.100553810432685   0.941035992615733
0.100675164742433   0.98257919039814
0.100796519052181   1.02699603830277
0.10091787336193    1.07445358108518
0.101039227671678   1.12504860432149
0.101160581981427   1.17880797085649
0.101281936291175   1.23604041623717
0.101403290600923   1.29641328067419
0.101524644910672   1.35963391055308
0.10164599922042    1.42557954321381
0.101767353530169   1.49416156664834
0.101888707839917   1.56534927686134
0.102010062149666   1.63919228063533
0.102131416459414   1.71584070430983
0.102252770769162   1.79601225943172
0.102374125078911   1.88003654143146
0.102495479388659   1.96839234345197
0.102616833698408   2.06181170587375
0.102738188008156   2.16111422126224
0.102859542317904   2.26717857202193
0.102980896627653   2.3809090716122
0.103102250937401   2.50319793690517
0.10322360524715    2.63620216450789
0.103344959556898   2.77991337761614
0.103466313866647   2.93439340691807
0.103587668176395   3.09986164504697
0.103709022486143   3.27629545451564
0.103830376795892   3.46341508770209
0.10395173110564    3.66067671965459
0.104073085415389   3.86727393860136
0.104194439725137   4.08300708473132
0.104315794034885   4.30537400192279
0.104437148344634   4.53252530973679
0.104558502654382   4.76278297170622
0.104679856964131   4.99441724588506
0.104801211273879   5.22569658519947
0.104922565583627   5.45493727045609
0.105043919893376   5.68055173833159
0.105165274203124   5.90016558933334
0.105286628512873   6.11294692474892
0.105407982822621   6.31820163717546
0.10552933713237    6.51535307296931
0.105650691442118   6.70409617599631
0.105772045751866   6.88439819369954
0.105893400061615   7.05649314148348
0.106014754371363   7.22087032638161
0.106136108681112   7.37744327564768
0.10625746299086    7.528303604947
0.106378817300608   7.67482127256054
0.106500171610357   7.81832831678043
0.106621525920105   7.96023443815673
0.106742880229854   8.10199247235706
0.106864234539602   8.2450640908764
0.106985588849351   8.39088607579444
0.107106943159099   8.54171923676198
0.107228297468847   8.69846604682896
0.107349651778596   8.86209748602591
0.107471006088344   9.03348265105159
0.107592360398093   9.21330110792959
0.107713714707841   9.40202928964421
0.107835069017589   9.59993101748527
0.107956423327338   9.80705245383901
0.108077777637086   10.0245429624514
0.108199131946835   10.2505135757676
0.108320486256583   10.4841800577503
0.108441840566331   10.7247116651083
0.10856319487608    10.971173500037
0.108684549185828   11.2225642338694
0.108805903495577   11.4778564940235
0.108927257805325   11.7360391204272
0.109048612115074   11.9963023623469
0.109169966424822   12.2574388505458
0.10929132073457    12.5188882282445
0.109412675044319   12.7802999376198
0.109534029354067   13.0415397915037
0.109655383663816   13.3026972042191
0.109776737973564   13.564085361583
0.109898092283312   13.8262369731881
0.110019446593061   14.0903637580997
0.110140800902809   14.3573607689194
0.110262155212558   14.628366048188
0.110383509522306   14.9046017699772
0.110504863832055   15.1873422581666
0.110626218141803   15.4778825623567
0.110747572451551   15.7775078971202
0.1108689267613     16.0875507948306
0.110990281071048   16.4111952300907
0.111111635380797   16.7477700414855
0.111232989690545   17.098112979726
0.111354344000293   17.4628922837212
0.111475698310042   17.8425870136207
0.11159705261979    18.2374692978016
0.111718406929539   18.6475889945432
0.111839761239287   19.0729529302725
0.111961115549036   19.5150002037847
0.112082469858784   19.9705616816143
0.112203824168532   20.4385768993691
0.112325178478281   20.9178026294151
0.112446532788029   21.4068529055839
0.112567887097778   21.9042469259789
0.112689241407526   22.4084638808954
0.112810595717274   22.918073813331
